name,type,rows,cols,density,levels,risk,stability,impact,seed,pressure_band,recommended_use,source_mode,notes
Fracture Field,grid,10,10,0.205,2,2,3,2,581760133,low-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Drift Swarm,grid,12,12,0.24,3,5,8,9,581864862,balanced,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Pressure Grid,grid,14,14,0.275,4,8,5,7,581969591,high-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Constraint Basin,grid,16,16,0.31,5,2,10,5,582074320,low-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Blocked Corridor Matrix,grid,18,18,0.345,6,5,7,3,582179049,balanced,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Sparse Evidence Plain,grid,10,10,0.38,2,8,4,10,582283778,high-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Cross-Pressure Lattice,grid,12,12,0.415,3,2,9,8,582388507,low-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Resource Pocket Field,grid,14,14,0.205,4,5,6,6,582493236,balanced,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Risk Perimeter,grid,16,16,0.24,5,8,3,4,582597965,high-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Decision Core Grid,grid,18,18,0.275,6,2,8,2,582702694,low-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Opportunity Archipelago,grid,10,10,0.31,2,5,5,9,582807423,balanced,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Boundary Compression,grid,12,12,0.345,3,8,10,7,582912152,high-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Signal Scatter,grid,14,14,0.38,4,2,7,5,583016881,low-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Safe-Zone Mosaic,grid,16,16,0.415,5,5,4,3,583121610,balanced,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Conflict Cell Network,grid,18,18,0.205,6,8,9,10,583226339,high-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Adaptive Clue Field,grid,10,10,0.24,2,2,6,8,583331068,low-pressure,"bounded space, obstacles, clue cells, or fixed constraints",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Stable Corridor,route,9,9,0.095,3,2,3,2,23145731,low-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Cross-Pressure Route,route,10,10,0.13,4,5,8,9,23250460,balanced,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Split Path,route,11,11,0.165,5,8,5,7,23355189,high-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Emergency Relay,route,12,12,0.2,6,2,10,5,23459918,low-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
